iso3,country,first_period,last_valid_period,valid_months_through_cutoff,complete_run_ending_at_cutoff,recent_reported_months,data_screening,cusum_eligibility,forecast_eligibility,revision_comparison
TTO,Trinidad and Tobago,2015-01,2026-06,48,5,24,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
TUN,Tunisia,2012-01,2026-06,171,54,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
TUR,Türkiye,2012-01,2026-06,171,115,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
TUV,Tuvalu,2012-12,2026-06,15,1,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
TZA,United Republic of Tanzania,2012-01,2026-06,173,162,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
UGA,Uganda,2012-01,2026-06,173,6,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
UKR,Ukraine,2012-01,2026-06,169,117,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
URY,Uruguay,2015-03,2026-06,63,15,34,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
USA,United States of America,2014-01,2026-06,138,126,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
UZB,Uzbekistan,2012-01,2025-11,121,0,44,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
VCT,Saint Vincent and the Grenadines,2017-04,2025-11,9,0,4,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
VEN,Venezuela (Bolivarian Republic of),2015-01,2025-12,124,0,46,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
VNM,Viet Nam,2012-01,2025-02,158,0,44,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
VUT,Vanuatu,2012-12,2026-06,18,1,3,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
WSM,Samoa,2012-12,2026-06,17,1,8,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
YEM,Yemen,2012-01,2026-06,173,66,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
ZAF,South Africa,2012-01,2026-06,166,6,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ZMB,Zambia,2012-01,2026-06,162,6,56,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ZWE,Zimbabwe,2012-01,2026-06,158,6,49,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
